Name,Date,Area(ha),Product,Rate,N(kg/ha),P(kg/ha),K(kg/ha),S(kg/ha),Ca(kg/ha),Mg(kg/ha)
,Area weighted total,,,,176,40,-,37,3,-
,28/09/2019,4.5,AmSulph Granular,142,29,-,-,34,-,-
,22/11/2019,2.7,Urea,30,14,-,-,-,-,-
,29/11/2019,4.5,DAP,32,6,6,-,-,-,-
,30/12/2019,4.4,Urea,30,14,-,-,-,-,-
,6/02/2020,4.1,Urea,36,17,-,-,-,-,-
,9/04/2020,4.3,Urea,96,44,-,-,-,-,-
,3/05/2020,4.6,Urea,86,40,-,-,-,-,-
,12/08/2020,4.5,Ammo 31,117,36,-,-,16,-,-
,13/08/2020,4.6,Scottys Fert Mix,426 kg/ha,25,28,95,87,-,-
,Area weighted total,,,,204,33,91,131,-,-
5A,11/04/2020,7.6,Magnesium Oxide,86,-,-,-,-,-,34
,13/08/2020,7.9,Scottys Fert Mix,496 kg/ha,29,33,110,101,-,-
,Area weighted total,,,,26,29,97,89,-,29
5G,11/10/2019,4.9,Urea,100,46,-,-,-,-,-
,29/11/2019,4.5,DAP,27,5,5,-,-,-,-
,31/12/2019,4.8,Urea,89,41,-,-,-,-,-
,6/02/2020,4.8,Urea,32,15,-,-,-,-,-
,5/03/2020,4.6,N - PROTECT,84,38,-,-,-,-,-
,9/04/2020,4.7,Urea,93,43,-,-,-,-,-
,20/08/2020,4.9,Ammo 31,114,35,-,-,16,-,-
,Area weighted total,,,,201,5,-,15,-,-
6,7/10/2019,3,AmSulph Granular,258,53,-,-,62,-,-
,4/11/2019,0,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,29/11/2019,2.8,DAP,26,5,5,-,-,-,-
,28/12/2019,3,DAP,30,5,6,-,-,-,-
,28/12/2019,3,DAP,30,5,6,-,-,-,-
,10/02/2020,3,Urea,33,15,-,-,-,-,-
,9/04/2020,3.1,Urea,97,45,-,-,-,-,-
,Area weighted total,,,,117,15,-,57,-,-
,27/10/2019,1.7,Urea,81,37,-,-,-,-,-
,2/12/2019,3.7,DAP,24,4,5,-,-,-,-
,28/01/2020,3.8,Urea,33,15,-,-,-,-,-
,27/03/2020,3.9,Urea,116,53,-,-,-,-,-
,23/06/2020,4,Urea,103,47,-,-,-,-,-
,13/08/2020,3.9,Scottys Fert Mix,451 kg/ha,26,30,100,92,-,-
,Area weighted total,,,,157,33,97,89,-,-
6A,29/11/2019,1.1,DAP,26,5,5,-,-,-,-
,10/02/2020,1.1,Urea,32,15,-,-,-,-,-
,27/03/2020,1.3,Urea,101,46,-,-,-,-,-
,Area weighted total,,,,60,4,-,-,-,-
6B,28/09/2019,6.3,AmSulph Granular,136,28,-,-,33,-,-
,4/11/2019,0,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,5/11/2019,6.4,Urea,91,42,-,-,-,-,-
,2/12/2019,6.4,DAP,36,6,7,-,-,-,-
,31/12/2019,6.5,Urea,95,44,-,-,-,-,-
,15/01/2020,6.6,Urea,34,16,-,-,-,-,-
,10/02/2020,6.5,Urea,45,20,-,-,-,-,-
